TERM,SUBJECT,CATALOG_NBR,CLASS_SECTION,CLASS_NUMBER,COURSE_DESCR,INSTR_LAST_NAME,INSTR_FIRST_NAME,A,B,C,D,F,SASTISFACTORY,TOTAL_DROPPED,AVG_GPA
Fall 2022,PHYS,2325,01,10002,University Physics I (lecture),Chu,Ching Wu,31,65,15,7,6,0,27,2.914
Fall 2023,PHYS,2325,01,10002,University Physics I (lecture),McElhenny,Brian Patrick,55,37,47,14,10,0,18,2.665
Fall 2024,PHYS,2325,01,10002,University Physics I (lecture),Timmins,Anthony Robert,58,49,54,11,4,0,19,2.813
Spring 2023,SOCW,7325,1,10002,Assessment in SW Practice,Parks,Steven Lee,17,0,0,0,0,0,0,3.981
Summer 2022,MIS,6341,01,10003,Information Systems,Silva,Leiser O,14,0,0,0,0,0,0,4.000
Summer 2023,MIS,6341,01,10003,Information Systems,Silva,Leiser O,7,0,0,0,0,0,0,3.953
Summer 2024,MIS,6341,01,10003,Information Systems,Silva,Leiser O,14,0,0,0,0,0,0,4.000
Summer 2022,BZAN,7320,1,10004,Bus Modeling For Comp Adv,Wiley,Briceon C,9,0,0,0,0,0,0,4.000
Summer 2023,BZAN,7320,1,10004,Bus Modeling For Comp Adv,Wiley,Briceon C,12,0,0,0,0,0,0,4.000
Summer 2024,BZAN,7320,1,10004,Bus Modeling For Comp Adv,Wiley,Briceon C,6,0,0,0,0,0,0,4.000
Fall 2022,FINA,6387,2,10004,Managerial Analysis,Basu,Swati,14,0,0,0,0,0,0,3.906
Fall 2024,GENB,7A97,1,10004,Selected Topics,Haseley,Ken A.,9,0,0,0,0,0,0,4.000
Summer 2022,CHEE,2332,01,10005,Chem Engr Thermodyn I,Fleischer,Miguel T,1,5,3,2,1,0,10,2.223
Fall 2022,GENB,7A97,1,10005,Selected Topics,Haseley,Ken A.,12,0,0,0,0,0,0,4.000
Fall 2023,GENB,7A97,1,10005,Selected Topics,Haseley,Ken A.,15,3,0,0,0,0,0,3.833
Fall 2024,GENB,7A97,2,10005,Selected Topics,Haseley,Ken A.,7,1,1,0,0,0,0,3.667
Summer 2024,PHAR,5493,01,10005,Introduction to Community IPPE,Hatfield,Catherine L,75,26,1,1,0,0,0,3.699
Summer 2022,CHEE,3321,01,10006,Analytical Methods Chem Engr,Malamataris,Nikolaos,4,1,4,0,0,0,1,2.963
Fall 2022,GENB,7A97,2,10006,Selected Topics,Haseley,Ken A.,9,3,1,0,0,0,0,3.615
Fall 2023,GENB,7A97,2,10006,Selected Topics,Haseley,Ken A.,9,2,1,0,0,0,0,3.667
Fall 2024,GENB,7A97,3,10006,Selected Topics,Williams,John M,9,0,0,0,0,0,0,3.890
Summer 2024,PHAR,4280,01,10006,Med/Pt Safety & Informatics,Varkey,Divya A,99,6,0,0,0,0,0,3.943
Summer 2024,BIOE,8398,02,10007,Doctoral Research,Shevkoplyas,Sergey,0,0,0,0,0,1,0,
Fall 2022,GENB,7A97,3,10007,Selected Topics,Williams,John M,12,0,0,0,0,0,0,4.000
Fall 2023,GENB,7A97,3,10007,Selected Topics,Williams,John M,18,0,0,0,0,0,0,4.000
Fall 2024,GENB,7A97,4,10007,Selected Topics,Williams,John M,8,1,0,0,0,0,0,3.889
Summer 2022,PHAR,5493,01,10007,Introduction to Community IPPE,Hatfield,Catherine L,59,47,2,0,0,0,0,3.528
Summer 2023,PHAR,5493,01,10007,Introduction to Community IPPE,Hatfield,Catherine L,64,45,2,0,0,0,0,3.559
Fall 2022,GENB,7A97,4,10008,Selected Topics,Williams,John M,13,0,0,0,0,0,0,4.000
Fall 2023,GENB,7A97,4,10008,Selected Topics,Williams,John M,11,0,0,0,0,0,0,4.000
Summer 2022,PHAR,4280,01,10008,Med/Pt Safety & Informatics,Varkey,Divya A,105,1,0,2,0,0,0,3.935
Summer 2023,PHAR,4280,01,10008,Med/Pt Safety & Informatics,Varkey,Divya A,111,2,0,0,0,0,0,3.982
Fall 2024,SCM,6301,1,10008,Supply Chain Mgt Foundations,Hosseinabadi Farahani,Mehdi,12,1,0,0,0,0,0,3.822
Summer 2022,BIOE,8398,02,10009,Doctoral Research,Shevkoplyas,Sergey,0,0,0,0,0,3,0,
Summer 2023,BIOE,8398,02,10009,Doctoral Research,Shevkoplyas,Sergey,0,0,0,0,0,1,0,
Fall 2022,SCM,6301,1,10009,Supply Chain Mgt Foundations,Smith,Gordon D,12,2,0,0,0,0,0,3.810
Fall 2023,SCM,6301,1,10009,Supply Chain Mgt Foundations,Hosseinabadi Farahani,Mehdi,7,0,0,0,0,0,0,3.906
Fall 2024,SCM,6301,2,10009,Supply Chain Mgt Foundations,Smith,Gordon D,4,2,0,0,0,0,0,3.722
